Campaign ,,,Campaign  Status,,Ad Group,Keyword,Criterion Type,Bid strategy type,Tracking template,Custom parameter,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Final URL
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,flatbed towing near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,flatbed car towing,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,flatbed tow service,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,flatbed towing San Francisco,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,flatbed towing Bay Area,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,AWD towing service,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,all wheel drive tow truck,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,Tesla towing near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,electric car towing,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,EV towing service,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,,,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,Responsive search ad,Bay Area Towing in 15 Minutes,,Call Now — Live Dispatch 24/7,,Flatbed Tow — No Hidden Fees,,Luxury Car Towing Specialists,,Motorcycle Towing Bay Area,,EV & Tesla Towing — Flatbed,,Bay Area RV & Motorhome Towing,,Box Truck Towing — Medium Duty,,"50,000+ Tows — 4.9 Stars",,SF Bay Area Flatbed Towing,,Accident & Recovery Towing,,Private Property Towing,,CTTA Certified & Fully Insured,,Available Now — Towing Near Me,,"San Jose, Oakland & SF Towing",,Flatbed towing across 5 Bay Area counties. 15-min avg response. No hidden fees. Call now.,,"Licensed & insured. 4.9-star Google rating. 50,000+ tows. Live dispatcher answers 24/7.",,"Specialist towing for luxury cars, motorcycles, EVs & RVs. Right truck, every time.",,No jump-starts or lockouts — professional towing only. CTTA certified specialists.,,Towing,Bay-Area,https://www.heavytowpro.com/towing
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,luxury car towing,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,exotic car towing,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,luxury car tow truck,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,Porsche towing,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,Ferrari towing,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,Lamborghini towing,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,BMW towing service,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,Mercedes towing service,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,sports car towing,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,high value car transport,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,luxury vehicle transport SF,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG3: Luxury & Exotic Car Towing,white glove car towing,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG4: Motorcycle Towing,,,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,Responsive search ad,Bay Area Towing in 15 Minutes,,Call Now — Live Dispatch 24/7,,Flatbed Tow — No Hidden Fees,,Luxury Car Towing Specialists,,Motorcycle Towing Bay Area,,EV & Tesla Towing — Flatbed,,Bay Area RV & Motorhome Towing,,Box Truck Towing — Medium Duty,,"50,000+ Tows — 4.9 Stars",,SF Bay Area Flatbed Towing,,Accident & Recovery Towing,,Private Property Towing,,CTTA Certified & Fully Insured,,Available Now — Towing Near Me,,"San Jose, Oakland & SF Towing",,Flatbed towing across 5 Bay Area counties. 15-min avg response. No hidden fees. Call now.,,"Licensed & insured. 4.9-star Google rating. 50,000+ tows. Live dispatcher answers 24/7.",,"Specialist towing for luxury cars, motorcycles, EVs & RVs. Right truck, every time.",,No jump-starts or lockouts — professional towing only. CTTA certified specialists.,,Towing,Bay-Area,https://www.heavytowpro.com/towing
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG4: Motorcycle Towing,motorcycle towing near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG4: Motorcycle Towing,motorcycle tow truck,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG4: Motorcycle Towing,motorcycle towing service,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG4: Motorcycle Towing,bike towing near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG4: Motorcycle Towing,motorcycle breakdown towing,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG4: Motorcycle Towing,motorcycle transport,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG4: Motorcycle Towing,motorcycle towing San Francisco,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG4: Motorcycle Towing,motorcycle towing Oakland,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG4: Motorcycle Towing,motorcycle towing San Jose,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG4: Motorcycle Towing,Harley Davidson towing,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG4: Motorcycle Towing,moto tow,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG5: RV & Motorhome Towing,,,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,Responsive search ad,Bay Area Towing in 15 Minutes,,Call Now — Live Dispatch 24/7,,Flatbed Tow — No Hidden Fees,,Luxury Car Towing Specialists,,Motorcycle Towing Bay Area,,EV & Tesla Towing — Flatbed,,Bay Area RV & Motorhome Towing,,Box Truck Towing — Medium Duty,,"50,000+ Tows — 4.9 Stars",,SF Bay Area Flatbed Towing,,Accident & Recovery Towing,,Private Property Towing,,CTTA Certified & Fully Insured,,Available Now — Towing Near Me,,"San Jose, Oakland & SF Towing",,Flatbed towing across 5 Bay Area counties. 15-min avg response. No hidden fees. Call now.,,"Licensed & insured. 4.9-star Google rating. 50,000+ tows. Live dispatcher answers 24/7.",,"Specialist towing for luxury cars, motorcycles, EVs & RVs. Right truck, every time.",,No jump-starts or lockouts — professional towing only. CTTA certified specialists.,,Towing,Bay-Area,https://www.heavytowpro.com/towing
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG5: RV & Motorhome Towing,RV towing near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG5: RV & Motorhome Towing,motorhome towing,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG5: RV & Motorhome Towing,RV towing service,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG5: RV & Motorhome Towing,RV towing Bay Area,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG5: RV & Motorhome Towing,travel trailer towing,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG5: RV & Motorhome Towing,camper van towing,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG5: RV & Motorhome Towing,motorhome breakdown,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG5: RV & Motorhome Towing,Class A motorhome towing,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG5: RV & Motorhome Towing,RV roadside assistance Bay Area,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG6: Box Truck & Medium Duty,,,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,Responsive search ad,Bay Area Towing in 15 Minutes,,Call Now — Live Dispatch 24/7,,Flatbed Tow — No Hidden Fees,,Luxury Car Towing Specialists,,Motorcycle Towing Bay Area,,EV & Tesla Towing — Flatbed,,Bay Area RV & Motorhome Towing,,Box Truck Towing — Medium Duty,,"50,000+ Tows — 4.9 Stars",,SF Bay Area Flatbed Towing,,Accident & Recovery Towing,,Private Property Towing,,CTTA Certified & Fully Insured,,Available Now — Towing Near Me,,"San Jose, Oakland & SF Towing",,Flatbed towing across 5 Bay Area counties. 15-min avg response. No hidden fees. Call now.,,"Licensed & insured. 4.9-star Google rating. 50,000+ tows. Live dispatcher answers 24/7.",,"Specialist towing for luxury cars, motorcycles, EVs & RVs. Right truck, every time.",,No jump-starts or lockouts — professional towing only. CTTA certified specialists.,,Towing,Bay-Area,https://www.heavytowpro.com/towing
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG6: Box Truck & Medium Duty,box truck towing,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG6: Box Truck & Medium Duty,box truck tow near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
